perm_internet,perm_access_network_state,perm_access_wifi_state,perm_camera,perm_use_biometric,perm_use_fingerprint,perm_send_sms,perm_read_sms,perm_receive_sms,perm_read_call_log,perm_write_call_log,perm_process_outgoing_calls,perm_record_audio,perm_system_alert_window,perm_write_settings,perm_access_fine_location,perm_access_coarse_location,perm_read_contacts,perm_write_contacts,perm_read_external_storage,api_cipher,api_encrypted_storage,api_plain_db,api_plain_prefs,api_log_calls,api_cert_pinner,api_trust_manager,api_keystore,api_signature,api_secure_random,api_insecure_random,api_weak_crypto,api_root_detection,api_screen_protection,api_biometric_prompt,mf_allow_backup,mf_debuggable,mf_uses_cleartext,mf_exported_components,mf_total_permissions,code_total_classes,code_total_strings,code_mean_string_entropy,code_max_string_entropy,code_obfuscation_ratio,app_name,package_name,version,maturity_score,tier,critical_violations,is_compliant
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0794415416798357,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.0986122886681098,5.081404364984463,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9505.0,46193.0,3.2062106102092267,6.0,0.9201316183069099,FirstCash,com.fsiblbd.customer,2.0.45,53.0,Tier 3: High Risk (Regulatory Action & Escalation Required),0,0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.6094379124341003,0.6931471805599453,0.0,0.0,1.3862943611198906,0.6931471805599453,1.3862943611198906,0.6931471805599453,1.0986122886681098,4.330733340286331,0.6931471805599453,0.0,2.302585092994046,0.0,0.0,0.0,0.0,18.0,6962.0,26762.0,3.0133658792113516,6.0,0.9868366927190456,Islamic Wallet,com.iw.app,1.0.15,69.0,Tier 3: High Risk (Regulatory Action & Escalation Required),1,0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.791759469228055,1.9459101490553132,0.6931471805599453,0.0,0.0,0.6931471805599453,1.6094379124341003,0.6931471805599453,1.0986122886681098,5.4638318050256105,1.3862943611198906,0.6931471805599453,3.6109179126442243,0.0,0.0,0.0,0.0,17.0,17347.0,90234.0,3.2204982809902853,4.826841096241542,0.7126225490196079,LENDEN,com.reddot.lenden.customerapp,2.3.4,61.0,Tier 3: High Risk (Regulatory Action & Escalation Required),1,0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.302585092994046,2.3978952727983707,0.6931471805599453,0.0,0.6931471805599453,1.6094379124341003,0.0,0.0,1.0986122886681098,1.0986122886681098,4.736198448394496,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,36.0,9230.0,37708.0,3.122663892800965,5.8040610721015575,0.7764685792349727,MYCash,com.mycash,11.4,61.0,Tier 3: High Risk (Regulatory Action & Escalation Required),0,0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.995732273553991,0.6931471805599453,0.0,2.0794415416798357,1.9459101490553132,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.0986122886681098,4.634728988229636,1.3862943611198906,0.6931471805599453,3.5553480614894135,0.0,0.0,0.0,0.0,22.0,16359.0,85832.0,2.8184375090573965,5.550270059156676,0.37314487632508836,MeghnaPay,com.modefin.meghnaui,1.41,66.0,Tier 3: High Risk (Regulatory Action & Escalation Required),1,0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.6094379124341003,0.6931471805599453,0.0,1.9459101490553132,1.9459101490553132,0.0,1.6094379124341003,0.6931471805599453,1.0986122886681098,4.736198448394496,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19305.0,90070.0,3.0082907436840514,6.0,0.3115397188623733,Nagad,com.konasl.nagad,1.1.118.03,46.0,Tier 3: High Risk (Regulatory Action & Escalation Required),1,0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.772588722239781,4.624972813284271,1.3862943611198906,0.0,2.6390573296152584,3.091042453358316,0.6931471805599453,2.1972245773362196,3.828641396489095,2.0794415416798357,6.263398262591624,1.0986122886681098,0.0,3.295836866004329,0.0,0.0,0.0,0.0,24.0,38890.0,191790.0,4.020963899722354,4.783971909818037,0.5183160642897936,Rocket,com.dbbl.mbs.apps.main,3.1.5,66.0,Tier 3: High Risk (Regulatory Action & Escalation Required),0,0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,1.791759469228055,1.3862943611198906,0.0,0.0,1.791759469228055,1.0986122886681098,1.3862943611198906,0.6931471805599453,1.0986122886681098,4.356708826689592,1.3862943611198906,0.0,2.5649493574615367,0.0,0.0,0.0,0.0,18.0,8669.0,36544.0,3.1659001081431346,6.259246244326362,0.9364690511187327,TeleCash,com.reddot.telecash.mobile,1.1.247,73.0,Tier 2: Substantially Compliant (Remediation Required),0,0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.302585092994046,1.0986122886681098,0.0,1.9459101490553132,2.0794415416798357,0.0,1.0986122886681098,0.6931471805599453,1.0986122886681098,4.976733742420574,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26012.0,110766.0,3.075808232680459,6.599912842187128,0.08812856402280975,Trust And Pay,com.trustandpay.customer,1.6.015,38.0,Tier 3: High Risk (Regulatory Action & Escalation Required),1,0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.6094379124341003,2.9444389791664403,1.3862943611198906,0.0,0.0,1.6094379124341003,1.0986122886681098,1.9459101490553132,1.0986122886681098,1.0986122886681098,5.834810737062605,1.3862943611198906,0.0,2.302585092994046,0.0,0.0,0.0,0.0,33.0,42019.0,165066.0,3.3664891797573127,5.431266690693168,0.6676159015833238,bKash,com.bKash.customerapp,7.3.0,73.0,Tier 2: Substantially Compliant (Remediation Required),0,0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.6390573296152584,1.6094379124341003,1.3862943611198906,0.0,2.0794415416798357,1.9459101490553132,1.9459101490553132,1.3862943611198906,0.6931471805599453,1.0986122886681098,4.574710978503383,1.6094379124341003,0.0,2.6390573296152584,0.0,0.0,0.0,0.0,22.0,15878.0,63260.0,2.8472173408505355,5.787998984994042,0.7379472894793229,mCash,com.ibbl.mcashcustomer,2.1.74,73.0,Tier 2: Substantially Compliant (Remediation Required),0,0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.258096538021482,4.709530201312334,0.6931471805599453,0.0,3.258096538021482,2.6390573296152584,0.6931471805599453,1.791759469228055,1.6094379124341003,1.9459101490553132,5.91350300563827,1.0986122886681098,0.0,3.6375861597263857,0.0,0.0,0.0,0.0,27.0,42976.0,226430.0,3.9475889298689686,4.603718811985861,0.57660797260944,upay,bd.com.upay.customer,2.14.6,68.0,Tier 3: High Risk (Regulatory Action & Escalation Required),0,0
